date_int,date,temp,weather,rain,rain_total,hotel
20180201,2018-02-01,10,3,4.6,2,TAU
20180202,2018-02-02,10,2,0.0,0,TAU
20180203,2018-02-03,12,1,0.0,0,TAU
20180204,2018-02-04,9,3,3.2,2,TAU
20180205,2018-02-05,10,3,3.8,2,TAU
20180206,2018-02-06,10,2,1.7,2,TAU
20180207,2018-02-07,9,1,0.0,0,TAU
20180208,2018-02-08,7,1,0.2,1,TAU
20180209,2018-02-09,8,1,0.0,0,TAU
20180210,2018-02-10,10,1,0.0,0,TAU
20180211,2018-02-11,13,1,0.2,1,TAU
20180212,2018-02-12,9,3,6.1,2,TAU
20180213,2018-02-13,10,1,0.0,0,TAU
20180214,2018-02-14,11,1,0.0,0,TAU
20180215,2018-02-15,14,1,0.0,0,TAU
20180216,2018-02-16,15,3,0.3,1,TAU
20180217,2018-02-17,13,1,3.3,2,TAU
20180218,2018-02-18,12,1,0.7,1,TAU
20180219,2018-02-19,11,1,0.0,0,TAU
20180220,2018-02-20,12,1,0.7,1,TAU
20180221,2018-02-21,11,1,0.0,0,TAU
20180222,2018-02-22,8,1,0.1,1,TAU
20180223,2018-02-23,9,1,0.0,0,TAU
20180224,2018-02-24,10,1,0.0,0,TAU
20180225,2018-02-25,12,1,0.0,0,TAU
20180226,2018-02-26,8,2,0.0,0,TAU
20180227,2018-02-27,4,1,0.0,0,TAU
20180228,2018-02-28,4,1,0.0,0,TAU
