date_int,date,temp,weather,rain,rain_total,hotel
20180801,2018-08-01,30,1,0.6,1,TAU
20180802,2018-08-02,30,1,0.4,1,TAU
20180803,2018-08-03,30,1,0.0,0,TAU
20180804,2018-08-04,31,1,0.1,1,TAU
20180805,2018-08-05,31,1,0.6,1,TAU
20180806,2018-08-06,30,1,0.0,0,TAU
20180807,2018-08-07,29,1,2.1,2,TAU
20180808,2018-08-08,29,1,0.3,1,TAU
20180809,2018-08-09,29,1,6.3,2,TAU
20180810,2018-08-10,26,1,0.1,1,TAU
20180811,2018-08-11,26,1,0.3,1,TAU
20180812,2018-08-12,28,1,0.1,1,TAU
20180813,2018-08-13,27,1,1.2,2,TAU
20180814,2018-08-14,26,3,0.5,1,TAU
20180815,2018-08-15,26,1,0.4,1,TAU
20180816,2018-08-16,27,1,2.8,2,TAU
20180817,2018-08-17,25,1,2.8,2,TAU
20180818,2018-08-18,26,1,0.1,1,TAU
20180819,2018-08-19,28,1,0.0,0,TAU
20180820,2018-08-20,29,1,0.0,0,TAU
20180821,2018-08-21,29,1,0.0,0,TAU
20180822,2018-08-22,28,1,0.0,0,TAU
20180823,2018-08-23,28,1,0.0,0,TAU
20180824,2018-08-24,26,1,4.1,2,TAU
20180825,2018-08-25,23,2,0.6,1,TAU
20180826,2018-08-26,24,3,0.0,0,TAU
20180827,2018-08-27,26,1,0.0,0,TAU
20180828,2018-08-28,28,1,0.0,0,TAU
20180829,2018-08-29,26,1,3.0,2,TAU
20180830,2018-08-30,25,1,2.0,2,TAU
20180831,2018-08-31,25,1,2.0,2,TAU
