date_int,date,temp,weather,rain,rain_total,hotel
20180301,2018-03-01,14,1,1.8,2,TAU
20180302,2018-03-02,13,1,0.0,0,TAU
20180303,2018-03-03,15,1,0.0,0,TAU
20180304,2018-03-04,15,1,1.1,2,TAU
20180305,2018-03-05,13,1,0.4,1,TAU
20180306,2018-03-06,15,1,0.0,0,TAU
20180307,2018-03-07,13,1,0.6,1,TAU
20180308,2018-03-08,13,1,0.1,1,TAU
20180309,2018-03-09,15,1,0.0,0,TAU
20180310,2018-03-10,16,1,0.0,0,TAU
20180311,2018-03-11,16,1,0.0,0,TAU
20180312,2018-03-12,15,1,0.1,1,TAU
20180313,2018-03-13,14,1,0.0,0,TAU
20180314,2018-03-14,14,1,0.0,0,TAU
20180315,2018-03-15,16,1,0.2,1,TAU
20180316,2018-03-16,14,1,0.7,1,TAU
20180317,2018-03-17,13,1,0.1,1,TAU
20180318,2018-03-18,11,1,0.9,1,TAU
20180319,2018-03-19,13,1,0.0,0,TAU
20180320,2018-03-20,11,1,6.7,2,TAU
20180321,2018-03-21,11,1,0.0,0,TAU
20180322,2018-03-22,13,1,0.0,0,TAU
20180323,2018-03-23,14,1,0.0,0,TAU
20180324,2018-03-24,11,3,19.6,2,TAU
20180325,2018-03-25,11,3,1.1,2,TAU
20180326,2018-03-26,14,1,0.0,0,TAU
20180327,2018-03-27,14,1,0.0,0,TAU
20180328,2018-03-28,16,1,0.0,0,TAU
20180329,2018-03-29,14,1,0.1,1,TAU
20180330,2018-03-30,15,1,0.1,1,TAU
20180331,2018-03-31,15,1,0.1,1,TAU
