date_int,date,temp,weather,rain,rain_total,hotel
20180801,2018-08-01,30,1,0.0,0,SAL
20180802,2018-08-02,31,1,0.0,0,SAL
20180803,2018-08-03,31,1,0.0,0,SAL
20180804,2018-08-04,33,1,0.0,0,SAL
20180805,2018-08-05,33,1,0.1,1,SAL
20180806,2018-08-06,31,1,0.8,1,SAL
20180807,2018-08-07,29,1,0.0,0,SAL
20180808,2018-08-08,29,1,2.3,2,SAL
20180809,2018-08-09,29,1,14.8,2,SAL
20180810,2018-08-10,26,1,0.3,1,SAL
20180811,2018-08-11,27,1,0.7,1,SAL
20180812,2018-08-12,28,1,0.2,1,SAL
20180813,2018-08-13,28,1,2.7,2,SAL
20180814,2018-08-14,29,1,0.9,1,SAL
20180815,2018-08-15,27,1,0.0,0,SAL
20180816,2018-08-16,27,1,3.9,2,SAL
20180817,2018-08-17,27,1,11.3,2,SAL
20180818,2018-08-18,26,1,1.8,2,SAL
20180819,2018-08-19,29,1,0.0,0,SAL
20180820,2018-08-20,30,1,0.0,0,SAL
20180821,2018-08-21,29,1,0.0,0,SAL
20180822,2018-08-22,29,1,0.1,1,SAL
20180823,2018-08-23,28,1,0.8,1,SAL
20180824,2018-08-24,31,1,0.0,0,SAL
20180825,2018-08-25,29,1,0.2,1,SAL
20180826,2018-08-26,26,1,0.4,1,SAL
20180827,2018-08-27,28,1,0.0,0,SAL
20180828,2018-08-28,27,1,0.0,0,SAL
20180829,2018-08-29,27,1,2.1,2,SAL
20180830,2018-08-30,28,1,0.6,1,SAL
20180831,2018-08-31,28,1,0.6,1,SAL
