date_int,date,temp,weather,rain,rain_total,hotel
20180701,2018-07-01,26,1,0.0,0,MME
20180702,2018-07-02,26,1,0.8,1,MME
20180703,2018-07-03,28,1,0.0,0,MME
20180704,2018-07-04,27,1,0.0,0,MME
20180705,2018-07-05,26,1,0.6,1,MME
20180706,2018-07-06,26,1,0.1,1,MME
20180707,2018-07-07,27,1,0.8,1,MME
20180708,2018-07-08,29,1,0.0,0,MME
20180709,2018-07-09,28,1,0.1,1,MME
20180710,2018-07-10,28,1,0.2,1,MME
20180711,2018-07-11,27,1,0.2,1,MME
20180712,2018-07-12,26,1,0.9,1,MME
20180713,2018-07-13,27,1,0.1,1,MME
20180714,2018-07-14,29,1,0.0,0,MME
20180715,2018-07-15,28,1,0.0,0,MME
20180716,2018-07-16,28,1,3.7,2,MME
20180717,2018-07-17,27,1,0.1,1,MME
20180718,2018-07-18,28,1,0.0,0,MME
20180719,2018-07-19,28,1,0.0,0,MME
20180720,2018-07-20,28,1,0.6,1,MME
20180721,2018-07-21,25,1,4.2,2,MME
20180722,2018-07-22,25,1,2.1,2,MME
20180723,2018-07-23,28,1,0.0,0,MME
20180724,2018-07-24,29,1,0.0,0,MME
20180725,2018-07-25,30,1,0.8,1,MME
20180726,2018-07-26,30,1,0.8,1,MME
20180727,2018-07-27,30,1,0.0,0,MME
20180728,2018-07-28,27,1,0.0,0,MME
20180729,2018-07-29,28,1,0.2,1,MME
20180730,2018-07-30,29,1,0.0,0,MME
20180731,2018-07-31,29,1,0.0,0,MME
