date_int,date,temp,weather,rain,rain_total,hotel
20180701,2018-07-01,26,1,0.0,0,SAL
20180702,2018-07-02,28,1,0.7,1,SAL
20180703,2018-07-03,28,1,0.0,0,SAL
20180704,2018-07-04,27,1,0.0,0,SAL
20180705,2018-07-05,28,1,1.6,2,SAL
20180706,2018-07-06,28,1,0.0,0,SAL
20180707,2018-07-07,27,1,0.2,1,SAL
20180708,2018-07-08,28,1,0.0,0,SAL
20180709,2018-07-09,30,1,1.8,2,SAL
20180710,2018-07-10,29,1,0.0,0,SAL
20180711,2018-07-11,28,1,0.3,1,SAL
20180712,2018-07-12,27,1,1.0,1,SAL
20180713,2018-07-13,27,1,1.4,2,SAL
20180714,2018-07-14,28,1,0.0,0,SAL
20180715,2018-07-15,28,1,0.0,0,SAL
20180716,2018-07-16,30,1,1.4,2,SAL
20180717,2018-07-17,28,1,0.0,0,SAL
20180718,2018-07-18,28,1,0.0,0,SAL
20180719,2018-07-19,28,1,0.0,0,SAL
20180720,2018-07-20,27,1,0.8,1,SAL
20180721,2018-07-21,27,1,0.2,1,SAL
20180722,2018-07-22,27,1,0.6,1,SAL
20180723,2018-07-23,28,1,0.0,0,SAL
20180724,2018-07-24,28,1,0.0,0,SAL
20180725,2018-07-25,28,1,0.0,0,SAL
20180726,2018-07-26,29,1,0.0,0,SAL
20180727,2018-07-27,29,1,0.0,0,SAL
20180728,2018-07-28,29,1,0.0,0,SAL
20180729,2018-07-29,28,1,0.0,0,SAL
20180730,2018-07-30,29,1,0.0,0,SAL
20180731,2018-07-31,29,1,0.0,0,SAL
