date_int,date,temp,weather,rain,rain_total,hotel
20180501,2018-05-01,15,1,1.8,2,TAU
20180502,2018-05-02,16,1,0.0,0,TAU
20180503,2018-05-03,17,1,0.0,0,TAU
20180504,2018-05-04,16,1,1.9,2,TAU
20180505,2018-05-05,19,1,0.4,1,TAU
20180506,2018-05-06,19,1,0.0,0,TAU
20180507,2018-05-07,19,1,0.9,1,TAU
20180508,2018-05-08,19,1,0.2,1,TAU
20180509,2018-05-09,18,1,2.4,2,TAU
20180510,2018-05-10,17,1,0.6,1,TAU
20180511,2018-05-11,19,1,0.0,0,TAU
20180512,2018-05-12,18,1,0.8,1,TAU
20180513,2018-05-13,14,2,17.1,2,TAU
20180514,2018-05-14,15,1,0.5,1,TAU
20180515,2018-05-15,18,1,0.0,0,TAU
20180516,2018-05-16,18,1,0.0,0,TAU
20180517,2018-05-17,18,1,0.1,1,TAU
20180518,2018-05-18,18,1,0.1,1,TAU
20180519,2018-05-19,19,1,0.9,1,TAU
20180520,2018-05-20,19,1,0.5,1,TAU
20180521,2018-05-21,19,1,0.3,1,TAU
20180522,2018-05-22,19,2,1.0,1,TAU
20180523,2018-05-23,20,1,0.1,1,TAU
20180524,2018-05-24,22,1,0.0,0,TAU
20180525,2018-05-25,21,1,0.1,1,TAU
20180526,2018-05-26,21,1,4.4,2,TAU
20180527,2018-05-27,21,1,1.0,1,TAU
20180528,2018-05-28,20,1,0.9,1,TAU
20180529,2018-05-29,21,1,1.5,2,TAU
20180530,2018-05-30,20,1,4.2,2,TAU
20180531,2018-05-31,20,1,4.2,2,TAU
