date_int,date,temp,weather,rain,rain_total,hotel
20180901,2018-09-01,24,2,0.6,1,MME
20180902,2018-09-02,25,1,0.2,1,MME
20180903,2018-09-03,25,2,4.4,2,MME
20180904,2018-09-04,25,1,2.2,2,MME
20180905,2018-09-05,25,1,0.3,1,MME
20180906,2018-09-06,24,1,4.9,2,MME
20180907,2018-09-07,25,1,3.0,2,MME
20180908,2018-09-08,25,1,0.3,1,MME
20180909,2018-09-09,25,1,1.0,1,MME
20180910,2018-09-10,25,1,0.0,0,MME
20180911,2018-09-11,26,1,0.0,0,MME
20180912,2018-09-12,26,1,4.0,2,MME
20180913,2018-09-13,26,1,0.0,0,MME
20180914,2018-09-14,25,1,0.1,1,MME
20180915,2018-09-15,24,1,0.0,0,MME
20180916,2018-09-16,26,1,0.5,1,MME
20180917,2018-09-17,25,1,0.0,0,MME
20180918,2018-09-18,24,1,3.5,2,MME
20180919,2018-09-19,25,1,0.0,0,MME
20180920,2018-09-20,28,1,0.0,0,MME
20180921,2018-09-21,27,1,0.1,1,MME
20180922,2018-09-22,26,1,0.0,0,MME
20180923,2018-09-23,28,1,0.0,0,MME
20180924,2018-09-24,24,1,0.2,1,MME
20180925,2018-09-25,22,1,0.1,1,MME
20180926,2018-09-26,22,1,0.0,0,MME
20180927,2018-09-27,22,1,0.0,0,MME
20180928,2018-09-28,26,1,0.0,0,MME
20180929,2018-09-29,24,1,0.1,1,MME
20180930,2018-09-30,24,1,0.1,1,MME
