idhotel,fechaocupacion,idcliente,idtipohab,idregimen,idsegmento,id_canal,idpais_cliente,NHab,S1H,S2H,S3H,S4H,S5H,S6H,S7H,S8H,S9H,S10H,S11H,S12H,S13H,S14H,S15H,S16H,S17H,S18H,S19H,S20H,S21H,S22H,S23H,S24H,S25H,S26H,S27H,S28H,S29H,S30H,S31H,S32H,S33H,S34H,S35H,S36H,S37H,S38H,S39H,S40H,S41H,S42H,S43H,S44H,S45H,S46H,S47H,S48H,S49H,S50H,S51H,S52H,PreuHab,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,diaAño
AV_SUITES,2018-03-31,OL_MEDITERRANEO,SUI,PC,VACAC,DESCONOCIDO,ES,142,142,137,39,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.255698,59.255698,58.74067700000001,57.612121,57.612121,57.612121,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,90
BAHIA_TOSSA,2018-03-30,Huespedes,DBL,MP,DESCONOCIDO,DESCONOCIDO,ES,70,54,28,21,10,14,13,11,11,11,9,9,9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.183116,121.827104,120.348376,116.056923,108.953175,103.862308,102.58738,100.722276,100.722276,100.722276,99.584802,99.584802,99.584802,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,120.43636399999998,89
BAHIA_TOSSA,2018-03-30,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,123,106,84,66,46,31,20,15,13,6,4,4,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.570872,141.695129,140.05013,139.209807,138.203933,148.411525,155.177864,157.557152,160.858252,146.885304,143.459775,143.459775,141.58273,141.58273,141.58273,141.58273,141.58273,141.58273,141.58273,141.58273,141.58273,141.58273,135.11432,135.11432,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,89
PORT_SALOU,2018-03-30,Huespedes,DBL,MP,DESCONOCIDO,DESCONOCIDO,ES,99,84,76,65,56,51,42,25,22,16,12,9,10,10,10,10,10,10,8,9,8,7,7,7,5,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.6022,113.40281,110.935044,112.396079,112.859735,118.616486,120.054002,118.508542,121.288226,128.338636,126.085605,138.017171,134.780908,134.780908,134.780908,134.780908,134.780908,134.780908,134.439772,129.601507,134.439772,133.202596,133.202596,133.202596,126.038181,103.978787,103.978787,76.404545,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,85.30909,89
PORT_SALOU,2018-03-30,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,73,71,71,73,65,65,61,57,50,44,38,31,25,23,23,23,23,21,20,16,16,10,10,9,5,3,4,4,4,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.74056000000004,142.809948,141.65518500000005,140.47858,144.207832,144.460419,145.270939,145.839011,149.066545,146.563429,150.492583,149.392375,150.060727,152.9166,152.9166,152.9166,152.9166,149.294805,150.87454499999996,154.24090900000004,154.24090900000004,148.914545,148.914545,152.60404,181.130909,159.063636,170.347726,170.347726,170.347726,185.148484,185.148484,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,89
AV_SUITES,2018-03-30,OL_MEDITERRANEO,SUI,PC,VACAC,DESCONOCIDO,ES,151,150,144,44,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.912463,59.152364,59.228788,57.839256000000006,57.839256000000006,57.839256000000006,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,68.781819,89
BAHIA_TOSSA,2018-04-01,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,56,55,56,50,38,36,28,19,16,14,6,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.077759,136.503967,133.98474,134.74236299999998,134.532057,136.33106,138.597078,144.3311,143.057954,142.081169,172.524242,181.918182,181.918182,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,204.199999,91
PORT_SALOU,2018-04-01,Huespedes,DBL,MP,DESCONOCIDO,DESCONOCIDO,ES,72,73,55,49,44,38,36,31,24,22,18,12,8,5,5,5,5,5,5,5,6,5,5,4,4,2,2,1,1,1,1,4,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.254925,124.839353,127.563222,125.755194,127.502169,131.09366,134.850883,134.661436,129.962121,128.440909,131.635353,130.337121,141.482954,124.723636,124.723636,124.723636,124.723636,124.723636,124.723636,124.723636,115.451515,124.723636,124.723636,121.868181,121.868181,96.099999,96.099999,117.809089,117.809089,117.809089,117.809089,69.05909,63.642424,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,52.809091,91
PORT_SALOU,2018-04-01,Huespedes,DBL,PC,DESCONOCIDO,DESCONOCIDO,ES,59,59,63,64,66,60,57,56,54,48,42,35,34,31,28,28,28,28,27,25,25,24,20,20,19,18,16,17,17,17,16,6,5,5,5,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,141.636132,141.636132,140.12526699999998,139.491577,137.945551,138.636849,139.179777,139.069351,140.419058,141.214886,137.410866,136.540832,136.499252,135.038769,136.207534,136.207534,136.207534,136.207534,134.67111200000002,136.009529,132.648184,134.420646,127.702048,127.702048,124.373447,124.717427,121.58381,126.443585,126.443585,126.443585,126.474719,160.7297,163.466549,163.466549,163.466549,153.283186,153.283186,136.310915,136.310915,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,140.162732,91
PORT_SALOU,2018-04-02,Huespedes,DBL,MP,DESCONOCIDO,DESCONOCIDO,ES,52,48,41,40,37,35,38,28,24,25,20,14,14,10,10,10,10,10,10,11,10,9,9,8,8,8,8,6,4,5,5,6,5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.018618,69.015718,70.709754,71.941473,74.21240300000002,75.900385,75.838511,80.249185,76.70208000000002,73.65872399999998,73.28067800000002,71.762986,70.55909,75.065901,72.718629,72.718629,72.718629,72.718629,72.718629,74.371061,74.89907600000002,76.796954,76.796954,75.504527,75.504527,75.504527,75.504527,77.192401,71.852238,75.66086800000002,75.66086800000002,71.852238,68.043609,71.852238,71.852238,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,90.895386,92
