idhotel,fechaocupacion,idcliente,idtipohab,idregimen,idsegmento,id_canal,idpais_cliente,NHab,S1H,S2H,S3H,S4H,S5H,S6H,S7H,S8H,S9H,S10H,S11H,S12H,S13H,S14H,S15H,S16H,S17H,S18H,S19H,S20H,S21H,S22H,S23H,S24H,S25H,S26H,S27H,S28H,S29H,S30H,S31H,S32H,S33H,S34H,S35H,S36H,S37H,S38H,S39H,S40H,S41H,S42H,S43H,S44H,S45H,S46H,S47H,S48H,S49H,S50H,S51H,S52H,PreuHab,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,diaAño
BAHIA_TOSSA,2018-05-10,Huespedes,SUI,PC,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,130
BAHIA_TOSSA,2018-05-10,Huespedes,SUI,TI,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,130
BAHIA_TOSSA,2018-05-11,Huespedes,SUI,PC,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,131
BAHIA_TOSSA,2018-05-11,Huespedes,SUI,TI,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,131
BAHIA_TOSSA,2018-05-12,Huespedes,SUI,TI,DESCONOCIDO,DESCONOCIDO,ES,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,280.068182,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,132
BAHIA_TOSSA,2018-05-12,Huespedes,SUI,PC,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,297.127272,132
BAHIA_TOSSA,2018-05-12,TUI_UK_LTD,SUI,TI,DESCONOCIDO,DESCONOCIDO,GB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,288.927274,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,225.213637,132
MAR_MENUDA,2018-05-20,Huespedes,FAM,MP,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,140
BAHIA_TOSSA,2018-05-20,Huespedes,FAM,MP,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.509092,435.509092,435.509092,161.51363600000005,161.51363600000005,161.51363600000005,161.51363600000005,161.51363600000005,161.51363600000005,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,157.65454599999995,140
BAHIA_TOSSA,2018-05-20,TUI_UK_LTD,SUI,MP,DESCONOCIDO,DESCONOCIDO,GB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,304.445453,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,200.290908,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,165.572726,140
MAR_MENUDA,2018-05-21,Huespedes,FAM,MP,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,141
MAR_MENUDA,2018-05-22,Huespedes,FAM,MP,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,142
MAR_MENUDA,2018-05-23,Huespedes,FAM,MP,DESCONOCIDO,DESCONOCIDO,ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,324.09091,143
