date_int,date,temp,weather,rain,rain_total,hotel
20190101,2019-01-01,15,1,0.0,0,TAU
20190102,2019-01-02,16,1,0.0,0,TAU
20190103,2019-01-03,14,1,0.0,0,TAU
20190104,2019-01-04,12,1,0.0,0,TAU
20190105,2019-01-05,14,1,0.0,0,TAU
20190106,2019-01-06,17,1,0.0,0,TAU
20190107,2019-01-07,14,1,0.0,0,TAU
20190108,2019-01-08,13,1,0.0,0,TAU
20190109,2019-01-09,12,1,0.0,0,TAU
20190110,2019-01-10,10,1,0.0,0,TAU
20190111,2019-01-11,10,1,0.0,0,TAU
20190112,2019-01-12,11,1,0.0,0,TAU
20190113,2019-01-13,15,1,0.0,0,TAU
20190114,2019-01-14,14,2,0.0,0,TAU
20190115,2019-01-15,14,1,0.0,0,TAU
20190116,2019-01-16,14,1,0.0,0,TAU
20190117,2019-01-17,13,1,0.5,1,TAU
20190118,2019-01-18,10,3,4.8,2,TAU
20190119,2019-01-19,11,1,0.1,1,TAU
20190120,2019-01-20,9,2,40.6,3,TAU
20190121,2019-01-21,11,1,0.2,1,TAU
20190122,2019-01-22,10,1,0.0,0,TAU
20190123,2019-01-23,9,3,0.8,1,TAU
20190124,2019-01-24,12,1,0.0,0,TAU
20190125,2019-01-25,11,1,0.0,0,TAU
20190126,2019-01-26,14,1,0.0,0,TAU
20190127,2019-01-27,13,3,2.3,2,TAU
20190128,2019-01-28,12,2,0.9,1,TAU
20190129,2019-01-29,10,2,0.4,1,TAU
20190130,2019-01-30,12,1,0.0,0,TAU
20190131,2019-01-31,15,1,0.0,0,TAU
