date_int,date,temp,weather,rain,rain_total,hotel
20190601,2019-06-01,24,1,0.0,0,TAU
20190602,2019-06-02,24,1,0.0,0,TAU
20190603,2019-06-03,24,1,0.0,0,TAU
20190604,2019-06-04,24,1,0.0,0,TAU
20190605,2019-06-05,24,1,0.0,0,TAU
20190606,2019-06-06,20,1,0.0,0,TAU
20190607,2019-06-07,24,1,0.0,0,TAU
20190608,2019-06-08,22,1,0.0,0,TAU
20190609,2019-06-09,22,2,0.1,1,TAU
20190610,2019-06-10,23,3,2.1,2,TAU
20190611,2019-06-11,17,2,23.4,3,TAU
20190612,2019-06-12,19,1,1.3,2,TAU
20190613,2019-06-13,21,1,0.0,0,TAU
20190614,2019-06-14,23,3,2.3,2,TAU
20190615,2019-06-15,22,1,0.0,0,TAU
20190616,2019-06-16,22,1,0.0,0,TAU
20190617,2019-06-17,24,1,0.0,0,TAU
20190618,2019-06-18,24,1,0.0,0,TAU
20190619,2019-06-19,24,1,0.0,0,TAU
20190620,2019-06-20,25,1,0.0,0,TAU
20190621,2019-06-21,24,3,1.1,2,TAU
20190622,2019-06-22,23,1,0.0,0,TAU
20190623,2019-06-23,25,1,0.0,0,TAU
20190624,2019-06-24,26,1,0.0,0,TAU
20190625,2019-06-25,25,1,0.0,0,TAU
20190626,2019-06-26,28,1,0.0,0,TAU
20190627,2019-06-27,29,1,0.0,0,TAU
20190628,2019-06-28,31,1,0.0,0,TAU
20190629,2019-06-29,31,1,0.0,0,TAU
20190630,2019-06-30,29,1,0.0,0,TAU
