date_int,date,temp,weather,rain,rain_total,hotel
20190501,2019-05-01,18,1,0.0,0,PAV
20190502,2019-05-02,18,2,0.0,0,PAV
20190503,2019-05-03,14,2,7.9,2,PAV
20190504,2019-05-04,20,1,0.0,0,PAV
20190505,2019-05-05,20,1,0.0,0,PAV
20190506,2019-05-06,18,1,0.0,0,PAV
20190507,2019-05-07,18,3,0.2,1,PAV
20190508,2019-05-08,24,1,0.0,0,PAV
20190509,2019-05-09,21,1,0.0,0,PAV
20190510,2019-05-10,25,2,0.0,0,PAV
20190511,2019-05-11,22,1,0.2,1,PAV
20190512,2019-05-12,23,1,0.0,0,PAV
20190513,2019-05-13,20,1,0.0,0,PAV
20190514,2019-05-14,21,1,0.0,0,PAV
20190515,2019-05-15,19,1,0.0,0,PAV
20190516,2019-05-16,18,1,1.5,2,PAV
20190517,2019-05-17,18,2,13.8,2,PAV
20190518,2019-05-18,20,1,1.5,2,PAV
20190519,2019-05-19,20,3,1.1,2,PAV
20190520,2019-05-20,22,1,0.1,1,PAV
20190521,2019-05-21,21,1,0.0,0,PAV
20190522,2019-05-22,22,1,0.0,0,PAV
20190523,2019-05-23,21,1,0.0,0,PAV
20190524,2019-05-24,17,2,9.9,2,PAV
20190525,2019-05-25,21,3,9.9,2,PAV
20190526,2019-05-26,23,1,0.0,0,PAV
20190527,2019-05-27,23,1,0.0,0,PAV
20190528,2019-05-28,21,1,0.0,0,PAV
20190529,2019-05-29,22,1,0.0,0,PAV
20190530,2019-05-30,22,1,0.0,0,PAV
20190531,2019-05-31,22,1,0.0,0,PAV
