date_int,date,temp,weather,rain,rain_total,hotel
20190801,2019-08-01,26,1,2.6,2,AVS
20190802,2019-08-02,27,1,0.0,0,AVS
20190803,2019-08-03,28,1,0.0,0,AVS
20190804,2019-08-04,28,1,0.0,0,AVS
20190805,2019-08-05,28,1,0.0,0,AVS
20190806,2019-08-06,27,1,0.0,0,AVS
20190807,2019-08-07,29,1,0.1,1,AVS
20190808,2019-08-08,30,1,1.4,2,AVS
20190809,2019-08-09,30,1,0.0,0,AVS
20190810,2019-08-10,28,1,0.0,0,AVS
20190811,2019-08-11,28,1,0.2,1,AVS
20190812,2019-08-12,27,3,1.8,2,AVS
20190813,2019-08-13,27,1,0.1,1,AVS
20190814,2019-08-14,28,1,0.0,0,AVS
20190815,2019-08-15,28,1,0.0,0,AVS
20190816,2019-08-16,27,1,0.3,1,AVS
20190817,2019-08-17,27,1,0.0,0,AVS
20190818,2019-08-18,28,3,0.2,1,AVS
20190819,2019-08-19,26,3,0.7,1,AVS
20190820,2019-08-20,23,2,7.0,2,AVS
20190821,2019-08-21,27,1,0.5,1,AVS
20190822,2019-08-22,27,1,3.5,2,AVS
20190823,2019-08-23,27,1,0.0,0,AVS
20190824,2019-08-24,27,1,0.0,0,AVS
20190825,2019-08-25,28,1,0.0,0,AVS
20190826,2019-08-26,28,1,0.0,0,AVS
20190827,2019-08-27,26,2,5.3,2,AVS
20190828,2019-08-28,27,1,0.0,0,AVS
20190829,2019-08-29,28,1,0.0,0,AVS
20190830,2019-08-30,28,3,3.6,2,AVS
20190831,2019-08-31,29,1,0.8,1,AVS
