date_int,date,temp,weather,rain,rain_total,hotel
20190101,2019-01-01,17,1,0.0,0,DON
20190102,2019-01-02,14,1,0.0,0,DON
20190103,2019-01-03,13,1,0.0,0,DON
20190104,2019-01-04,12,1,0.0,0,DON
20190105,2019-01-05,13,1,0.0,0,DON
20190106,2019-01-06,14,1,0.0,0,DON
20190107,2019-01-07,12,1,0.0,0,DON
20190108,2019-01-08,12,1,0.0,0,DON
20190109,2019-01-09,14,1,0.0,0,DON
20190110,2019-01-10,10,1,0.0,0,DON
20190111,2019-01-11,9,1,0.0,0,DON
20190112,2019-01-12,12,1,0.0,0,DON
20190113,2019-01-13,14,1,0.0,0,DON
20190114,2019-01-14,17,2,0.0,0,DON
20190115,2019-01-15,14,1,0.0,0,DON
20190116,2019-01-16,14,1,0.0,0,DON
20190117,2019-01-17,13,1,0.0,0,DON
20190118,2019-01-18,11,3,0.0,0,DON
20190119,2019-01-19,11,1,0.0,0,DON
20190120,2019-01-20,11,2,4.6,2,DON
20190121,2019-01-21,12,1,0.0,0,DON
20190122,2019-01-22,11,2,0.1,1,DON
20190123,2019-01-23,15,1,0.0,0,DON
20190124,2019-01-24,11,1,0.0,0,DON
20190125,2019-01-25,14,1,0.0,0,DON
20190126,2019-01-26,15,1,0.0,0,DON
20190127,2019-01-27,15,1,0.0,0,DON
20190128,2019-01-28,16,1,0.0,0,DON
20190129,2019-01-29,13,3,0.5,1,DON
20190130,2019-01-30,13,2,0.0,0,DON
20190131,2019-01-31,18,2,0.0,0,DON
