date_int,date,temp,weather,rain,rain_total,hotel
20190701,2019-07-01,27,1,0.0,0,TAU
20190702,2019-07-02,27,3,0.7,1,TAU
20190703,2019-07-03,28,3,1.1,2,TAU
20190704,2019-07-04,28,1,0.1,1,TAU
20190705,2019-07-05,28,1,0.0,0,TAU
20190706,2019-07-06,29,1,0.0,0,TAU
20190707,2019-07-07,28,1,0.0,0,TAU
20190708,2019-07-08,30,1,0.6,1,TAU
20190709,2019-07-09,25,4,23.0,3,TAU
20190710,2019-07-10,27,1,3.5,2,TAU
20190711,2019-07-11,28,1,0.0,0,TAU
20190712,2019-07-12,28,1,0.0,0,TAU
20190713,2019-07-13,28,1,0.0,0,TAU
20190714,2019-07-14,27,3,3.5,2,TAU
20190715,2019-07-15,25,3,0.3,1,TAU
20190716,2019-07-16,27,1,0.0,0,TAU
20190717,2019-07-17,27,3,5.0,2,TAU
20190718,2019-07-18,26,3,1.4,2,TAU
20190719,2019-07-19,26,1,0.0,0,TAU
20190720,2019-07-20,28,1,0.0,0,TAU
20190721,2019-07-21,27,1,0.0,0,TAU
20190722,2019-07-22,29,1,0.0,0,TAU
20190723,2019-07-23,29,1,0.0,0,TAU
20190724,2019-07-24,28,1,0.0,0,TAU
20190725,2019-07-25,28,1,0.0,0,TAU
20190726,2019-07-26,28,1,0.1,1,TAU
20190727,2019-07-27,26,4,31.2,3,TAU
20190728,2019-07-28,25,3,4.8,2,TAU
20190729,2019-07-29,27,1,0.0,0,TAU
20190730,2019-07-30,26,3,0.2,1,TAU
20190731,2019-07-31,25,1,0.0,0,TAU
