date_int,date,temp,weather,rain,rain_total,hotel
20190401,2019-04-01,17,2,0.0,0,TAU
20190402,2019-04-02,17,3,2.8,2,TAU
20190403,2019-04-03,16,4,18.8,2,TAU
20190404,2019-04-04,11,3,8.2,2,TAU
20190405,2019-04-05,15,3,1.8,2,TAU
20190406,2019-04-06,15,3,4.7,2,TAU
20190407,2019-04-07,15,3,2.2,2,TAU
20190408,2019-04-08,17,1,0.1,1,TAU
20190409,2019-04-09,14,4,20.5,3,TAU
20190410,2019-04-10,16,2,1.0,1,TAU
20190411,2019-04-11,17,2,0.4,1,TAU
20190412,2019-04-12,16,1,0.0,0,TAU
20190413,2019-04-13,16,1,0.0,0,TAU
20190414,2019-04-14,16,1,0.0,0,TAU
20190415,2019-04-15,16,1,0.1,1,TAU
20190416,2019-04-16,16,1,0.2,1,TAU
20190417,2019-04-17,17,2,0.0,0,TAU
20190418,2019-04-18,16,2,0.0,0,TAU
20190419,2019-04-19,18,2,0.0,0,TAU
20190420,2019-04-20,17,2,1.0,1,TAU
20190421,2019-04-21,15,2,0.9,1,TAU
20190422,2019-04-22,15,3,0.4,1,TAU
20190423,2019-04-23,16,3,1.4,2,TAU
20190424,2019-04-24,16,1,0.4,1,TAU
20190425,2019-04-25,16,2,0.8,1,TAU
20190426,2019-04-26,16,1,0.0,0,TAU
20190427,2019-04-27,17,1,0.0,0,TAU
20190428,2019-04-28,15,2,0.0,0,TAU
20190429,2019-04-29,16,3,0.5,1,TAU
20190430,2019-04-30,16,3,1.6,2,TAU
