date_int,date,temp,weather,rain,rain_total,hotel
20190401,2019-04-01,17,2,0.0,0,TOS
20190402,2019-04-02,17,3,1.0,1,TOS
20190403,2019-04-03,17,4,17.1,2,TOS
20190404,2019-04-04,12,3,8.1,2,TOS
20190405,2019-04-05,15,3,1.3,2,TOS
20190406,2019-04-06,16,1,4.3,2,TOS
20190407,2019-04-07,16,3,0.9,1,TOS
20190408,2019-04-08,17,2,0.0,0,TOS
20190409,2019-04-09,15,3,17.3,2,TOS
20190410,2019-04-10,17,3,0.3,1,TOS
20190411,2019-04-11,18,2,0.6,1,TOS
20190412,2019-04-12,17,1,0.0,0,TOS
20190413,2019-04-13,17,1,0.0,0,TOS
20190414,2019-04-14,16,1,0.0,0,TOS
20190415,2019-04-15,16,2,0.1,1,TOS
20190416,2019-04-16,17,2,0.9,1,TOS
20190417,2019-04-17,17,2,0.0,0,TOS
20190418,2019-04-18,17,2,0.0,0,TOS
20190419,2019-04-19,18,2,0.0,0,TOS
20190420,2019-04-20,18,2,0.4,1,TOS
20190421,2019-04-21,15,3,0.8,1,TOS
20190422,2019-04-22,16,3,0.5,1,TOS
20190423,2019-04-23,19,3,3.8,2,TOS
20190424,2019-04-24,17,1,0.0,0,TOS
20190425,2019-04-25,18,3,0.3,1,TOS
20190426,2019-04-26,17,1,0.0,0,TOS
20190427,2019-04-27,18,1,0.0,0,TOS
20190428,2019-04-28,16,3,0.0,0,TOS
20190429,2019-04-29,16,3,0.1,1,TOS
20190430,2019-04-30,17,3,0.2,1,TOS
