date_int,date,temp,weather,rain,rain_total,hotel
20190801,2019-08-01,27,3,1.5,2,TOS
20190802,2019-08-02,28,1,0.1,1,TOS
20190803,2019-08-03,29,1,0.0,0,TOS
20190804,2019-08-04,29,1,0.0,0,TOS
20190805,2019-08-05,30,1,0.0,0,TOS
20190806,2019-08-06,29,3,0.4,1,TOS
20190807,2019-08-07,27,3,1.1,2,TOS
20190808,2019-08-08,29,3,1.7,2,TOS
20190809,2019-08-09,30,1,0.0,0,TOS
20190810,2019-08-10,31,1,0.0,0,TOS
20190811,2019-08-11,29,1,0.0,0,TOS
20190812,2019-08-12,28,3,0.3,1,TOS
20190813,2019-08-13,24,1,0.0,0,TOS
20190814,2019-08-14,25,1,0.0,0,TOS
20190815,2019-08-15,26,3,2.8,2,TOS
20190816,2019-08-16,26,3,0.6,1,TOS
20190817,2019-08-17,28,1,0.0,0,TOS
20190818,2019-08-18,29,1,0.0,0,TOS
20190819,2019-08-19,29,1,0.0,0,TOS
20190820,2019-08-20,27,1,0.0,0,TOS
20190821,2019-08-21,27,3,0.0,0,TOS
20190822,2019-08-22,28,1,0.0,0,TOS
20190823,2019-08-23,28,1,0.0,0,TOS
20190824,2019-08-24,28,1,0.0,0,TOS
20190825,2019-08-25,30,1,0.0,0,TOS
20190826,2019-08-26,29,1,0.0,0,TOS
20190827,2019-08-27,26,3,0.4,1,TOS
20190828,2019-08-28,29,1,0.0,0,TOS
20190829,2019-08-29,29,1,0.0,0,TOS
20190830,2019-08-30,30,1,0.1,1,TOS
20190831,2019-08-31,30,1,0.3,1,TOS
