date_int,date,temp,weather,rain,rain_total,hotel
20190501,2019-05-01,19,1,0.0,0,TAU
20190502,2019-05-02,17,3,0.2,1,TAU
20190503,2019-05-03,15,2,10.7,2,TAU
20190504,2019-05-04,17,1,0.1,1,TAU
20190505,2019-05-05,18,1,0.0,0,TAU
20190506,2019-05-06,16,1,0.0,0,TAU
20190507,2019-05-07,18,1,0.0,0,TAU
20190508,2019-05-08,21,3,0.3,1,TAU
20190509,2019-05-09,17,1,0.0,0,TAU
20190510,2019-05-10,21,1,0.0,0,TAU
20190511,2019-05-11,20,3,1.6,2,TAU
20190512,2019-05-12,19,1,0.5,1,TAU
20190513,2019-05-13,21,1,0.0,0,TAU
20190514,2019-05-14,19,1,0.0,0,TAU
20190515,2019-05-15,17,1,0.0,0,TAU
20190516,2019-05-16,19,1,0.0,0,TAU
20190517,2019-05-17,15,3,11.2,2,TAU
20190518,2019-05-18,15,4,34.5,3,TAU
20190519,2019-05-19,16,3,8.1,2,TAU
20190520,2019-05-20,18,3,0.9,1,TAU
20190521,2019-05-21,20,3,1.1,2,TAU
20190522,2019-05-22,21,3,2.0,2,TAU
20190523,2019-05-23,22,1,0.0,0,TAU
20190524,2019-05-24,17,2,6.8,2,TAU
20190525,2019-05-25,21,3,8.9,2,TAU
20190526,2019-05-26,21,3,0.3,1,TAU
20190527,2019-05-27,20,1,2.3,2,TAU
20190528,2019-05-28,19,3,6.3,2,TAU
20190529,2019-05-29,19,3,0.7,1,TAU
20190530,2019-05-30,21,1,0.0,0,TAU
20190531,2019-05-31,23,1,0.0,0,TAU
