date_int,date,temp,weather,rain,rain_total,hotel
20190301,2019-03-01,16,1,0.0,0,TAU
20190302,2019-03-02,16,1,0.0,0,TAU
20190303,2019-03-03,18,1,0.0,0,TAU
20190304,2019-03-04,18,2,0.0,0,TAU
20190305,2019-03-05,15,1,0.0,0,TAU
20190306,2019-03-06,16,1,0.3,1,TAU
20190307,2019-03-07,14,1,0.3,1,TAU
20190308,2019-03-08,16,1,0.0,0,TAU
20190309,2019-03-09,18,1,0.0,0,TAU
20190310,2019-03-10,19,1,0.0,0,TAU
20190311,2019-03-11,14,2,1.1,2,TAU
20190312,2019-03-12,16,2,0.2,1,TAU
20190313,2019-03-13,11,2,5.8,2,TAU
20190314,2019-03-14,15,1,1.0,1,TAU
20190315,2019-03-15,17,1,0.0,0,TAU
20190316,2019-03-16,19,1,0.0,0,TAU
20190317,2019-03-17,17,1,0.0,0,TAU
20190318,2019-03-18,13,3,1.2,2,TAU
20190319,2019-03-19,14,3,1.9,2,TAU
20190320,2019-03-20,15,1,0.0,0,TAU
20190321,2019-03-21,15,1,0.0,0,TAU
20190322,2019-03-22,17,1,0.0,0,TAU
20190323,2019-03-23,20,3,0.0,0,TAU
20190324,2019-03-24,19,1,0.0,0,TAU
20190325,2019-03-25,18,1,0.0,0,TAU
20190326,2019-03-26,16,1,0.0,0,TAU
20190327,2019-03-27,17,1,0.0,0,TAU
20190328,2019-03-28,16,1,0.0,0,TAU
20190329,2019-03-29,15,1,0.0,0,TAU
20190330,2019-03-30,15,1,0.0,0,TAU
20190331,2019-03-31,16,1,0.0,0,TAU
