date_int,date,temp,weather,rain,rain_total,hotel
20190301,2019-03-01,16,1,0.0,0,TOS
20190302,2019-03-02,16,1,0.0,0,TOS
20190303,2019-03-03,18,1,0.0,0,TOS
20190304,2019-03-04,17,2,0.0,0,TOS
20190305,2019-03-05,15,1,0.0,0,TOS
20190306,2019-03-06,16,1,0.0,0,TOS
20190307,2019-03-07,14,1,0.0,0,TOS
20190308,2019-03-08,16,1,0.0,0,TOS
20190309,2019-03-09,18,1,0.0,0,TOS
20190310,2019-03-10,19,1,0.0,0,TOS
20190311,2019-03-11,14,2,2.4,2,TOS
20190312,2019-03-12,16,2,0.1,1,TOS
20190313,2019-03-13,10,2,8.0,2,TOS
20190314,2019-03-14,15,1,1.0,1,TOS
20190315,2019-03-15,18,1,0.0,0,TOS
20190316,2019-03-16,19,1,0.0,0,TOS
20190317,2019-03-17,17,1,0.0,0,TOS
20190318,2019-03-18,14,3,0.4,1,TOS
20190319,2019-03-19,14,1,0.8,1,TOS
20190320,2019-03-20,15,1,0.0,0,TOS
20190321,2019-03-21,15,1,0.0,0,TOS
20190322,2019-03-22,18,1,0.0,0,TOS
20190323,2019-03-23,21,2,0.0,0,TOS
20190324,2019-03-24,20,1,0.0,0,TOS
20190325,2019-03-25,18,1,0.0,0,TOS
20190326,2019-03-26,16,1,0.0,0,TOS
20190327,2019-03-27,17,1,0.0,0,TOS
20190328,2019-03-28,16,1,0.0,0,TOS
20190329,2019-03-29,16,1,0.0,0,TOS
20190330,2019-03-30,16,1,0.0,0,TOS
20190331,2019-03-31,16,1,0.0,0,TOS
