date_int,date,temp,weather,rain,rain_total,hotel
20190401,2019-04-01,17,1,0.1,1,AVS
20190402,2019-04-02,18,1,0.0,0,AVS
20190403,2019-04-03,18,2,4.1,2,AVS
20190404,2019-04-04,16,1,0.6,1,AVS
20190405,2019-04-05,16,3,8.6,2,AVS
20190406,2019-04-06,16,3,8.6,2,AVS
20190407,2019-04-07,17,1,0.9,1,AVS
20190408,2019-04-08,19,3,0.6,1,AVS
20190409,2019-04-09,19,1,1.0,1,AVS
20190410,2019-04-10,17,1,0.2,1,AVS
20190411,2019-04-11,20,1,0.2,1,AVS
20190412,2019-04-12,19,1,0.0,0,AVS
20190413,2019-04-13,20,1,0.0,0,AVS
20190414,2019-04-14,19,2,0.0,0,AVS
20190415,2019-04-15,16,1,0.2,1,AVS
20190416,2019-04-16,17,1,0.2,1,AVS
20190417,2019-04-17,17,1,0.0,0,AVS
20190418,2019-04-18,17,1,0.0,0,AVS
20190419,2019-04-19,18,1,0.0,0,AVS
20190420,2019-04-20,18,2,2.3,2,AVS
20190421,2019-04-21,17,3,0.6,1,AVS
20190422,2019-04-22,17,3,0.2,1,AVS
20190423,2019-04-23,17,2,3.0,2,AVS
20190424,2019-04-24,16,1,0.4,1,AVS
20190425,2019-04-25,19,2,4.3,2,AVS
20190426,2019-04-26,20,1,0.0,0,AVS
20190427,2019-04-27,19,1,0.0,0,AVS
20190428,2019-04-28,17,1,0.0,0,AVS
20190429,2019-04-29,17,1,0.0,0,AVS
20190430,2019-04-30,17,3,0.4,1,AVS
