date_int,date,temp,weather,rain,rain_total,hotel
20191101,2019-11-01,20,1,0.0,0,AVS
20191102,2019-11-02,22,1,0.0,0,AVS
20191103,2019-11-03,19,2,3.9,2,AVS
20191104,2019-11-04,21,1,0.1,1,AVS
20191105,2019-11-05,18,1,1.4,2,AVS
20191106,2019-11-06,17,1,0.0,0,AVS
20191107,2019-11-07,17,1,0.0,0,AVS
20191108,2019-11-08,14,1,0.0,0,AVS
20191109,2019-11-09,15,3,0.0,0,AVS
20191110,2019-11-10,14,1,0.6,1,AVS
20191111,2019-11-11,15,2,0.0,0,AVS
20191112,2019-11-12,16,1,0.0,0,AVS
20191113,2019-11-13,15,2,6.2,2,AVS
20191114,2019-11-14,14,3,4.5,2,AVS
20191115,2019-11-15,12,1,0.0,0,AVS
20191116,2019-11-16,12,1,0.0,0,AVS
20191117,2019-11-17,14,3,0.0,0,AVS
20191118,2019-11-18,13,3,0.0,0,AVS
20191119,2019-11-19,14,1,0.0,0,AVS
20191120,2019-11-20,13,1,0.0,0,AVS
20191121,2019-11-21,15,1,0.2,1,AVS
20191122,2019-11-22,15,2,9.4,2,AVS
20191123,2019-11-23,14,2,12.7,2,AVS
20191124,2019-11-24,15,1,0.0,0,AVS
20191125,2019-11-25,17,1,0.0,0,AVS
20191126,2019-11-26,17,1,0.0,0,AVS
20191127,2019-11-27,0,1,0.0,0,AVS
20191128,2019-11-28,18,1,0.0,0,AVS
20191129,2019-11-29,18,1,0.0,0,AVS
20191130,2019-11-30,16,1,0.0,0,AVS
