date_int,date,temp,weather,rain,rain_total,hotel
20191101,2019-11-01,19,3,0.7,1,TOS
20191102,2019-11-02,21,3,0.5,1,TOS
20191103,2019-11-03,19,3,0.7,1,TOS
20191104,2019-11-04,21,1,0.2,1,TOS
20191105,2019-11-05,17,1,3.5,2,TOS
20191106,2019-11-06,17,3,0.5,1,TOS
20191107,2019-11-07,14,2,0.4,1,TOS
20191108,2019-11-08,13,3,3.0,2,TOS
20191109,2019-11-09,14,1,0.0,0,TOS
20191110,2019-11-10,13,2,0.4,1,TOS
20191111,2019-11-11,15,1,0.0,0,TOS
20191112,2019-11-12,14,1,0.0,0,TOS
20191113,2019-11-13,14,3,0.0,0,TOS
20191114,2019-11-14,13,3,10.7,2,TOS
20191115,2019-11-15,10,2,4.1,2,TOS
20191116,2019-11-16,12,1,0.0,0,TOS
20191117,2019-11-17,12,3,0.0,0,TOS
20191118,2019-11-18,13,3,0.3,1,TOS
20191119,2019-11-19,13,1,0.0,0,TOS
20191120,2019-11-20,13,1,0.1,1,TOS
20191121,2019-11-21,14,1,0.2,1,TOS
20191122,2019-11-22,16,3,4.4,2,TOS
20191123,2019-11-23,16,1,17.5,2,TOS
20191124,2019-11-24,16,2,2.2,2,TOS
20191125,2019-11-25,17,1,0.0,0,TOS
20191126,2019-11-26,17,1,0.0,0,TOS
20191127,2019-11-27,0,1,0.0,0,TOS
20191128,2019-11-28,17,1,0.0,0,TOS
20191129,2019-11-29,16,2,0.0,0,TOS
20191130,2019-11-30,16,1,0.0,0,TOS
