date_int,date,temp,weather,rain,rain_total,hotel
20190901,2019-09-01,27,1,0.0,0,SAL
20190902,2019-09-02,27,1,4.3,2,SAL
20190903,2019-09-03,27,1,0.0,0,SAL
20190904,2019-09-04,27,1,0.0,0,SAL
20190905,2019-09-05,26,3,0.2,1,SAL
20190906,2019-09-06,25,1,0.0,0,SAL
20190907,2019-09-07,25,1,0.0,0,SAL
20190908,2019-09-08,24,1,0.5,1,SAL
20190909,2019-09-09,24,3,2.5,2,SAL
20190910,2019-09-10,22,4,20.7,3,SAL
20190911,2019-09-11,25,4,20.4,3,SAL
20190912,2019-09-12,27,1,0.0,0,SAL
20190913,2019-09-13,26,3,2.7,2,SAL
20190914,2019-09-14,26,1,1.5,2,SAL
20190915,2019-09-15,25,3,16.6,2,SAL
20190916,2019-09-16,0,4,0.6,1,SAL
20190917,2019-09-17,26,1,0.0,0,SAL
20190918,2019-09-18,26,3,0.3,1,SAL
20190919,2019-09-19,25,1,0.2,1,SAL
20190920,2019-09-20,24,1,0.0,0,SAL
20190921,2019-09-21,25,4,17.4,2,SAL
20190922,2019-09-22,27,1,1.4,2,SAL
20190923,2019-09-23,23,1,0.0,0,SAL
20190924,2019-09-24,27,1,0.0,0,SAL
20190925,2019-09-25,22,3,1.7,2,SAL
20190926,2019-09-26,25,1,0.1,1,SAL
20190927,2019-09-27,25,3,0.3,1,SAL
20190928,2019-09-28,23,3,1.1,2,SAL
20190929,2019-09-29,25,1,0.1,1,SAL
20190930,2019-09-30,23,3,0.3,1,SAL
