date_int,date,temp,weather,rain,rain_total,hotel
20190101,2019-01-01,16,1,0.0,0,TOS
20190102,2019-01-02,17,1,0.0,0,TOS
20190103,2019-01-03,15,1,0.0,0,TOS
20190104,2019-01-04,12,1,0.0,0,TOS
20190105,2019-01-05,13,1,0.0,0,TOS
20190106,2019-01-06,18,1,0.0,0,TOS
20190107,2019-01-07,16,1,0.0,0,TOS
20190108,2019-01-08,13,1,0.0,0,TOS
20190109,2019-01-09,13,1,0.0,0,TOS
20190110,2019-01-10,9,1,0.0,0,TOS
20190111,2019-01-11,11,1,0.0,0,TOS
20190112,2019-01-12,12,1,0.0,0,TOS
20190113,2019-01-13,15,1,0.0,0,TOS
20190114,2019-01-14,15,2,0.0,0,TOS
20190115,2019-01-15,15,1,0.0,0,TOS
20190116,2019-01-16,15,1,0.0,0,TOS
20190117,2019-01-17,14,1,0.2,1,TOS
20190118,2019-01-18,9,2,3.2,2,TOS
20190119,2019-01-19,11,1,0.1,1,TOS
20190120,2019-01-20,9,2,33.3,3,TOS
20190121,2019-01-21,12,1,0.0,0,TOS
20190122,2019-01-22,10,2,0.0,0,TOS
20190123,2019-01-23,9,2,2.2,2,TOS
20190124,2019-01-24,12,1,0.0,0,TOS
20190125,2019-01-25,12,1,0.0,0,TOS
20190126,2019-01-26,14,2,0.0,0,TOS
20190127,2019-01-27,12,3,4.8,2,TOS
20190128,2019-01-28,11,2,2.4,2,TOS
20190129,2019-01-29,10,2,0.4,1,TOS
20190130,2019-01-30,11,1,0.0,0,TOS
20190131,2019-01-31,16,2,0.0,0,TOS
