date_int,date,temp,weather,rain,rain_total,hotel
20190901,2019-09-01,27,3,3.9,2,MME
20190902,2019-09-02,22,3,9.0,2,MME
20190903,2019-09-03,27,1,0.0,0,MME
20190904,2019-09-04,27,1,0.0,0,MME
20190905,2019-09-05,26,4,7.8,2,MME
20190906,2019-09-06,23,1,1.3,2,MME
20190907,2019-09-07,24,1,0.3,1,MME
20190908,2019-09-08,22,3,0.7,1,MME
20190909,2019-09-09,23,1,3.3,2,MME
20190910,2019-09-10,16,4,74.2,3,MME
20190911,2019-09-11,24,3,21.2,3,MME
20190912,2019-09-12,27,1,0.0,0,MME
20190913,2019-09-13,26,1,0.1,1,MME
20190914,2019-09-14,27,1,3.3,2,MME
20190915,2019-09-15,26,1,1.7,2,MME
20190916,2019-09-16,0,4,1.7,2,MME
20190917,2019-09-17,28,1,0.0,0,MME
20190918,2019-09-18,27,1,0.4,1,MME
20190919,2019-09-19,25,2,4.0,2,MME
20190920,2019-09-20,25,1,0.5,1,MME
20190921,2019-09-21,23,4,32.5,3,MME
20190922,2019-09-22,26,1,1.2,2,MME
20190923,2019-09-23,23,1,0.4,1,MME
20190924,2019-09-24,27,1,0.0,0,MME
20190925,2019-09-25,22,2,0.0,0,MME
20190926,2019-09-26,24,1,0.0,0,MME
20190927,2019-09-27,25,3,0.7,1,MME
20190928,2019-09-28,24,1,0.7,1,MME
20190929,2019-09-29,26,1,0.0,0,MME
20190930,2019-09-30,25,1,0.0,0,MME
