date_int,date,temp,weather,rain,rain_total,hotel
20190301,2019-03-01,19,1,0.0,0,SAL
20190302,2019-03-02,18,1,0.0,0,SAL
20190303,2019-03-03,19,1,0.0,0,SAL
20190304,2019-03-04,20,1,0.0,0,SAL
20190305,2019-03-05,15,1,0.0,0,SAL
20190306,2019-03-06,15,3,0.5,1,SAL
20190307,2019-03-07,17,1,0.4,1,SAL
20190308,2019-03-08,18,1,0.0,0,SAL
20190309,2019-03-09,18,1,0.0,0,SAL
20190310,2019-03-10,21,1,0.0,0,SAL
20190311,2019-03-11,15,3,0.2,1,SAL
20190312,2019-03-12,16,3,0.0,0,SAL
20190313,2019-03-13,18,1,0.0,0,SAL
20190314,2019-03-14,18,1,0.0,0,SAL
20190315,2019-03-15,20,1,0.0,0,SAL
20190316,2019-03-16,19,1,0.0,0,SAL
20190317,2019-03-17,22,1,0.0,0,SAL
20190318,2019-03-18,16,1,0.0,0,SAL
20190319,2019-03-19,13,3,2.4,2,SAL
20190320,2019-03-20,15,1,0.6,1,SAL
20190321,2019-03-21,15,1,0.0,0,SAL
20190322,2019-03-22,17,1,0.0,0,SAL
20190323,2019-03-23,19,1,0.0,0,SAL
20190324,2019-03-24,19,1,0.0,0,SAL
20190325,2019-03-25,21,1,0.0,0,SAL
20190326,2019-03-26,19,1,0.0,0,SAL
20190327,2019-03-27,17,1,0.0,0,SAL
20190328,2019-03-28,16,1,0.0,0,SAL
20190329,2019-03-29,16,1,0.0,0,SAL
20190330,2019-03-30,15,1,0.0,0,SAL
20190331,2019-03-31,15,2,0.6,1,SAL
