date_int,date,temp,weather,rain,rain_total,hotel
20190801,2019-08-01,26,3,2.0,2,TAU
20190802,2019-08-02,27,1,0.2,1,TAU
20190803,2019-08-03,29,1,0.0,0,TAU
20190804,2019-08-04,28,1,0.0,0,TAU
20190805,2019-08-05,28,1,0.0,0,TAU
20190806,2019-08-06,28,3,0.6,1,TAU
20190807,2019-08-07,27,3,1.6,2,TAU
20190808,2019-08-08,29,3,1.9,2,TAU
20190809,2019-08-09,30,1,0.0,0,TAU
20190810,2019-08-10,30,1,0.0,0,TAU
20190811,2019-08-11,28,1,0.0,0,TAU
20190812,2019-08-12,25,3,1.9,2,TAU
20190813,2019-08-13,25,1,0.1,1,TAU
20190814,2019-08-14,24,1,0.0,0,TAU
20190815,2019-08-15,26,3,2.9,2,TAU
20190816,2019-08-16,26,3,1.1,2,TAU
20190817,2019-08-17,28,1,0.0,0,TAU
20190818,2019-08-18,28,1,0.0,0,TAU
20190819,2019-08-19,28,1,0.0,0,TAU
20190820,2019-08-20,27,2,0.0,0,TAU
20190821,2019-08-21,26,3,0.0,0,TAU
20190822,2019-08-22,27,1,0.0,0,TAU
20190823,2019-08-23,26,1,0.0,0,TAU
20190824,2019-08-24,27,1,0.0,0,TAU
20190825,2019-08-25,28,1,0.0,0,TAU
20190826,2019-08-26,28,1,0.0,0,TAU
20190827,2019-08-27,25,3,1.5,2,TAU
20190828,2019-08-28,27,1,0.2,1,TAU
20190829,2019-08-29,28,1,0.1,1,TAU
20190830,2019-08-30,29,1,0.4,1,TAU
20190831,2019-08-31,29,1,1.9,2,TAU
